"Geneid","GeneName","NewName","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000104946","TBC1D17","ENSG00000104946_TBC1D17",815,1106,520,964
"ENSG00000104953","TLE6","ENSG00000104953_TLE6",39,126,60,113
"ENSG00000104957","CCDC130","ENSG00000104957_CCDC130",458,433,370,384
"ENSG00000104960","PTOV1","ENSG00000104960_PTOV1",2132,2558,1434,2147
"ENSG00000104964","TLE5","ENSG00000104964_TLE5",7274,7509,5419,7210
"ENSG00000104967","NOVA2","ENSG00000104967_NOVA2",22,150,35,204
"ENSG00000104969","SGTA","ENSG00000104969_SGTA",3773,2996,2433,3117
"ENSG00000104973","MED25","ENSG00000104973_MED25",1420,1233,975,1182
"ENSG00000104976","SNAPC2","ENSG00000104976_SNAPC2",984,863,643,1046
"ENSG00000104979","C19orf53","ENSG00000104979_C19orf53",3023,2171,2061,2060
"ENSG00000104980","TIMM44","ENSG00000104980_TIMM44",1706,1262,1190,1463
"ENSG00000104983","CCDC61","ENSG00000104983_CCDC61",328,175,200,165
"ENSG00000104998","IL27RA","ENSG00000104998_IL27RA",2321,1603,1720,2990
"ENSG00000105011","ASF1B","ENSG00000105011_ASF1B",1684,428,878,583
"ENSG00000105048","TNNT1","ENSG00000105048_TNNT1",1154,1635,748,1181
"ENSG00000105053","VRK3","ENSG00000105053_VRK3",758,542,496,739
"ENSG00000105058","FAM32A","ENSG00000105058_FAM32A",2628,2231,1710,2790
"ENSG00000105063","PPP6R1","ENSG00000105063_PPP6R1",4861,3818,3256,4660
"ENSG00000105072","C19orf44","ENSG00000105072_C19orf44",324,175,172,260
"ENSG00000105085","MED26","ENSG00000105085_MED26",425,275,228,361
"ENSG00000105088","OLFM2","ENSG00000105088_OLFM2",278,559,183,381
"ENSG00000105127","AKAP8","ENSG00000105127_AKAP8",1260,823,803,1340
"ENSG00000105135","ILVBL","ENSG00000105135_ILVBL",2735,1869,1513,1767
"ENSG00000105136","ZNF419","ENSG00000105136_ZNF419",199,175,149,238
"ENSG00000105137","SYDE1","ENSG00000105137_SYDE1",357,381,333,524
"ENSG00000105141","CASP14","ENSG00000105141_CASP14",1540,3582,221,901
"ENSG00000105143","SLC1A6","ENSG00000105143_SLC1A6",269,335,80,319
"ENSG00000105146","AURKC","ENSG00000105146_AURKC",75,32,42,37
"ENSG00000105171","POP4","ENSG00000105171_POP4",874,560,510,619
"ENSG00000105173","CCNE1","ENSG00000105173_CCNE1",632,740,462,850
"ENSG00000105176","URI1","ENSG00000105176_URI1",2684,1743,1568,2418
"ENSG00000105185","PDCD5","ENSG00000105185_PDCD5",3099,1755,1748,2233
"ENSG00000105186","ANKRD27","ENSG00000105186_ANKRD27",1988,1475,1318,2188
"ENSG00000105193","RPS16","ENSG00000105193_RPS16",18239,13613,13416,14492
"ENSG00000105197","TIMM50","ENSG00000105197_TIMM50",3099,1783,2104,2164
"ENSG00000105202","FBL","ENSG00000105202_FBL",7144,2703,4272,3801
"ENSG00000105204","DYRK1B","ENSG00000105204_DYRK1B",158,428,154,404
"ENSG00000105219","CNTD2","ENSG00000105219_CNTD2",6,14,32,43
"ENSG00000105220","GPI","ENSG00000105220_GPI",8650,6615,5258,7628
"ENSG00000105221","AKT2","ENSG00000105221_AKT2",5339,4111,3217,4183
"ENSG00000105223","PLD3","ENSG00000105223_PLD3",4716,7018,2996,5408
"ENSG00000105227","PRX","ENSG00000105227_PRX",167,222,103,213
"ENSG00000105229","PIAS4","ENSG00000105229_PIAS4",932,761,541,701
"ENSG00000105245","NUMBL","ENSG00000105245_NUMBL",217,224,167,243
"ENSG00000105246","EBI3","ENSG00000105246_EBI3",27,166,58,170
"ENSG00000105248","YJU2","ENSG00000105248_YJU2",699,540,583,601
"ENSG00000105254","TBCB","ENSG00000105254_TBCB",2234,1807,1530,1794
"ENSG00000105255","FSD1","ENSG00000105255_FSD1",644,675,521,592
"ENSG00000105258","POLR2I","ENSG00000105258_POLR2I",800,590,505,599
"ENSG00000105270","CLIP3","ENSG00000105270_CLIP3",16,21,6,10
"ENSG00000105281","SLC1A5","ENSG00000105281_SLC1A5",4963,5229,4826,5645
"ENSG00000105287","PRKD2","ENSG00000105287_PRKD2",1424,1264,919,1607
"ENSG00000105289","TJP3","ENSG00000105289_TJP3",61,376,45,215
"ENSG00000105290","APLP1","ENSG00000105290_APLP1",492,764,357,667
"ENSG00000105298","CACTIN","ENSG00000105298_CACTIN",1002,738,711,923
"ENSG00000105321","CCDC9","ENSG00000105321_CCDC9",376,310,275,425
"ENSG00000105323","HNRNPUL1","ENSG00000105323_HNRNPUL1",11556,6400,7143,7232
"ENSG00000105325","FZR1","ENSG00000105325_FZR1",3085,1668,1415,1461
"ENSG00000105327","BBC3","ENSG00000105327_BBC3",80,221,146,379
"ENSG00000105329","TGFB1","ENSG00000105329_TGFB1",1403,2229,1805,3225
"ENSG00000105339","DENND3","ENSG00000105339_DENND3",215,345,190,427
