"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","38/802","188/21338",0.202127659574468,5.37780548628429,11.9145085942981,1.29634438427522e-17,2.39535634561076e-15,2.17775748609821e-15,"MYBL2/SAPCD2/CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/KIF23/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/KIF4A/KIF11/CDK1/BORA/TPX2/RCC1/KIF15/CDCA8/AURKA/PSRC1/MAD2L1/TTK/NEK2/RACGAP1/STMN1/POC1A/SPC25/STIL/CENPA/BIRC5/WDR62/SASS6/GPSM1",38
"GO:0051985","negative regulation of chromosome segregation","22/802","55/21338",0.4,10.6423940149626,14.1496510971056,1.35756887185876e-17,2.41889682203692e-15,2.19915949956369e-15,"CDC20/SPDL1/PLK1/NDC80/BUB1B/CCNB1/AURKB/NUF2/CENPF/ZWINT/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",22
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","28/802","99/21338",0.282828282828283,7.52492506108466,12.8594391552932,2.27337953428376e-17,3.9109967229454e-15,3.55571412458392e-15,"CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/TACC3/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",28
"GO:0033045","regulation of sister chromatid segregation","29/802","111/21338",0.261261261261261,6.95111320797106,12.4225663858205,6.4968402732338e-17,1.08042453743878e-14,9.82276657451385e-15,"CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/TACC3/CCNB1/AURKB/NUF2/CENPF/ZWINT/CDK1/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",29
"GO:0044784","metaphase/anaphase transition of cell cycle","28/802","103/21338",0.271844660194175,7.23269496162506,12.5303813039481,7.16931471059723e-17,1.15334905955352e-14,1.04857657322237e-14,"CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/TACC3/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",28
"GO:0030071","regulation of mitotic metaphase/anaphase transition","27/802","95/21338",0.28421052631579,7.56170101063132,12.6667806663796,7.3977089408123e-17,1.15334905955352e-14,1.04857657322237e-14,"CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",27
"GO:0051784","negative regulation of nuclear division","23/802","66/21338",0.348484848484849,9.27178266455075,13.3003434467087,9.31230447174824e-17,1.40785112150158e-14,1.27995916965752e-14,"CDC20/SPDL1/PLK1/NDC80/BUB1B/CCNB1/AURKB/NUF2/CENPF/ZWINT/KNL1/GEN1/TRIP13/CHEK1/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",23
"GO:1901988","negative regulation of cell cycle phase transition","47/802","307/21338",0.153094462540717,4.07322897966809,10.7184029696315,2.06892695432942e-16,3.03584605151455e-14,2.76006385331439e-14,"CDC20/SPDL1/PLK1/CDC45/NDC80/BUB1B/RBL1/CCNB1/AURKB/NUF2/CENPF/ZWINT/CDKN2B/TICRR/CDK1/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/MSH2/EZH2/CDCA8/SUSD2/MAD2L1/BLM/TTK/CDT1/DNA2/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/EME1/CLSPN/BIRC5/ORC1/E2F7/SKA3/CDKN1A/BRCA2/BRIP1/BARD1/DACT1/WEE1",47
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","27/802","99/21338",0.272727272727273,7.2561777374745,12.3297871173374,2.34679704230902e-16,3.34519155545135e-14,3.04130780610814e-14,"CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",27
"GO:0000075","cell cycle checkpoint signaling","39/802","216/21338",0.180555555555556,4.80385840953173,11.1040046309907,2.76700904600672e-16,3.83461336959097e-14,3.48626958457396e-14,"CDC20/SPDL1/PLK1/CDC45/NDC80/BUB1B/CCNB1/AURKB/NUF2/CENPF/ZWINT/TICRR/CDK1/KNL1/GEN1/TRIP13/CHEK1/MSH2/CDCA8/MAD2L1/BLM/TTK/CDT1/DNA2/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/EME1/CLSPN/BIRC5/ORC1/SKA3/CDKN1A/BRCA2/BRIP1/BARD1",39
"GO:0010948","negative regulation of cell cycle process","51/802","361/21338",0.141274238227147,3.75874026844247,10.4469294284573,3.26732655178659e-16,4.40559247753061e-14,4.0053798326169e-14,"CDC20/SPDL1/PLK1/ESPL1/CDC45/NDC80/BUB1B/RBL1/CCNB1/AURKB/NUF2/CENPF/ZWINT/CDKN2B/TICRR/CCNF/CDK1/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/MSH2/EZH2/CDCA8/SUSD2/MAD2L1/BLM/TTK/CDT1/NEK2/DNA2/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/E2F8/EME1/CLSPN/BIRC5/ORC1/E2F7/SKA3/CDKN1A/BRCA2/BRIP1/BARD1/DACT1/WEE1",51
